,value,geometry,lon,lat
334,37.0,POINT (655456.8938331384 5591687.462104958),655456.894,5591687.462
335,37.0,POINT (637687.4122616259 5591636.827650056),637687.412,5591636.828
336,38.0,POINT (638831.6917581868 5591611.363139806),638831.692,5591611.363
337,26.0,POINT (654600.5081017734 5591640.835793616),654600.508,5591640.836
338,33.0,POINT (655384.6855727984 5591618.145466215),655384.686,5591618.145
339,40.0,POINT (648463.1652707122 5591622.417094405),648463.165,5591622.417
340,40.0,POINT (656834.7619808466 5591621.707028147),656834.762,5591621.707
341,28.0,POINT (653514.1966822895 5591554.451644713),653514.197,5591554.452
342,27.0,POINT (659135.3246048398 5591536.35567747),659135.325,5591536.356
343,38.0,POINT (640085.4233062004 5591442.677728786),640085.423,5591442.678
344,11.0,POINT (657852.7308437923 5591421.196661063),657852.731,5591421.197
345,35.0,POINT (656391.7149302702 5591403.350310444),656391.715,5591403.35
346,33.0,POINT (658202.1605231443 5591382.837309293),658202.161,5591382.837
347,27.0,POINT (653596.6326244134 5591371.115036186),653596.633,5591371.115
348,40.0,POINT (657603.0100209787 5591279.193972025),657603.01,5591279.194
349,38.0,POINT (661331.9955379467 5591308.197032766),661331.996,5591308.197
350,33.0,POINT (639202.1073471826 5591254.023569681),639202.107,5591254.024
351,29.0,POINT (653462.5292649936 5591220.547716472),653462.529,5591220.548
352,35.0,POINT (653114.872297026 5591180.810793885),653114.872,5591180.811
353,38.0,POINT (658558.6751475238 5591172.536231162),658558.675,5591172.536
354,38.0,POINT (640497.7581718223 5591135.955215911),640497.758,5591135.955
355,39.0,POINT (662022.6228794791 5591144.839796122),662022.623,5591144.84
356,31.0,POINT (653011.4030250753 5591142.768888845),653011.403,5591142.769
357,39.0,POINT (655964.9104233587 5591064.507754116),655964.91,5591064.508
358,37.0,POINT (640686.9493608847 5591094.806356803),640686.949,5591094.806
359,40.0,POINT (646090.6265835101 5590981.638761883),646090.627,5590981.639
360,26.0,POINT (657908.0199671513 5591086.07818954),657908.02,5591086.078
361,35.0,POINT (648461.465697558 5591020.078442601),648461.466,5591020.078
